cycle,seq,center_ts_ms,window_start_sample,window_delta,mode,emitted_samples,audio_gain,in_rms,out_rms_left,out_rms_right,mask_mean_left,mask_mean_right,heatmap_min,heatmap_max,heatmap_std,gap_fills,splice_fallbacks,lagging_windows,inference_ms
156,155,43422,937046,5768,normal,5768,0.589328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412803,0.072092,1,1,0,247
157,156,43660,942302,5256,normal,5256,0.586185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.537303,0.098151,1,1,0,247
158,157,43922,948070,5768,normal,5768,0.585546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.825534,0.182396,1,1,0,247
159,158,44160,953326,5256,normal,5256,0.587059,0.000000,0.000000,0.000000,0.000000,0.000000,0.033576,1.000000,0.262573,1,1,0,247
160,159,44422,959094,5768,normal,5768,0.590944,0.000000,0.000000,0.000000,0.000000,0.000000,0.483006,1.000000,0.133148,1,1,0,248
161,160,44660,964350,5256,normal,5256,0.593790,0.000000,0.000000,0.000000,0.000000,0.000000,0.435621,1.000000,0.150093,1,1,0,245
162,161,44922,970118,5768,normal,5768,0.594834,0.000000,0.000000,0.000000,0.000000,0.000000,0.215199,1.000000,0.241180,1,1,0,247
163,162,45160,975374,5256,normal,5256,0.592898,0.000000,0.000000,0.000000,0.000000,0.000000,0.004778,0.970402,0.276749,1,1,0,248
164,163,45422,981142,5768,normal,5768,0.589278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310924,0.073906,1,1,0,247
165,164,45660,986398,5256,normal,5256,0.586122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.271275,0.063056,1,1,0,247
166,165,45922,992166,5768,normal,5768,0.585045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300045,0.063685,1,1,0,247
167,166,46160,997422,5256,normal,5256,0.586607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308927,0.066524,1,1,0,247
168,167,46422,1003190,5768,normal,5768,0.590471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.403688,0.088772,1,1,0,247
169,168,46660,1008446,5256,normal,5256,0.593395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.987356,0.197433,1,1,0,247
170,169,46922,1014214,5768,normal,5768,0.594556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.989918,0.232398,1,1,0,247
171,170,47160,1019470,5256,normal,5256,0.592743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.730388,0.166114,1,1,0,246
172,171,47422,1025238,5768,normal,5768,0.589349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.394815,0.065575,1,1,0,249
173,172,47660,1030494,5256,normal,5256,0.586242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.499857,0.089635,1,1,0,246
174,173,47922,1036262,5768,normal,5768,0.585443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.935663,0.213137,1,1,0,248
175,174,48160,1041518,5256,normal,5256,0.587026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.279106,1,1,0,247
176,175,48422,1047286,5768,normal,5768,0.590941,0.000000,0.000000,0.000000,0.000000,0.000000,0.495288,1.000000,0.124930,1,1,0,247
177,176,48660,1052542,5256,normal,5256,0.593820,0.000000,0.000000,0.000000,0.000000,0.000000,0.388796,1.000000,0.167556,1,1,0,247
178,177,48921,1058310,5768,normal,5768,0.594821,0.000000,0.000000,0.000000,0.000000,0.000000,0.215550,1.000000,0.238724,1,1,0,249
179,178,49160,1063566,5256,normal,5256,0.592890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000073,0.960991,0.266398,1,1,0,246
180,179,49421,1069334,5768,normal,5768,0.589333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.435564,0.096500,1,1,0,247
181,180,49660,1074590,5256,normal,5256,0.586181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.251617,0.056926,1,1,0,248
182,181,49921,1080358,5768,normal,5768,0.585122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.273938,0.053365,1,1,0,246
183,182,50160,1085614,5256,normal,5256,0.586636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260169,0.056395,1,1,0,247
184,183,50421,1091382,5768,normal,5768,0.590512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410462,0.090207,1,1,0,247
185,184,50660,1096638,5256,normal,5256,0.593428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.987524,0.188111,1,1,0,247
