cycle,seq,center_ts_ms,window_start_sample,window_delta,mode,emitted_samples,audio_gain,in_rms,out_rms_left,out_rms_right,mask_mean_left,mask_mean_right,heatmap_min,heatmap_max,heatmap_std,gap_fills,splice_fallbacks,lagging_windows,inference_ms
169,168,56932,1234950,8268,normal,8268,0.594714,0.000000,0.000000,0.000000,0.000000,0.000000,0.273777,1.000000,0.197932,0,0,0,146
170,169,57296,1242962,8012,normal,8012,0.591200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.883982,0.232416,0,0,0,153
171,170,57557,1248730,5768,normal,5768,0.587370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.426635,0.095518,0,0,0,151
172,171,57932,1256998,8268,normal,8268,0.585031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280581,0.053217,0,0,0,146
173,172,58296,1265010,8012,normal,8012,0.588606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247333,0.053363,0,0,0,169
174,173,58557,1270778,5768,normal,5768,0.592324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.688149,0.130934,0,0,0,151
175,174,58932,1279046,8268,normal,8268,0.594397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.989853,0.215474,0,0,0,167
176,175,59296,1287058,8012,normal,8012,0.590981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.671282,0.142575,0,0,0,148
177,176,59557,1292826,5768,normal,5768,0.587415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.258103,0.051401,0,0,0,153
178,177,59932,1301094,8268,normal,8268,0.585171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.692587,0.139431,0,0,0,190
179,178,60295,1309106,8012,normal,8012,0.588921,0.000000,0.000000,0.000000,0.000000,0.000000,0.201130,1.000000,0.239898,0,0,0,154
180,179,60557,1314874,5768,normal,5768,0.592669,0.000000,0.000000,0.000000,0.000000,0.000000,0.493736,1.000000,0.135876,0,0,0,166
181,180,60932,1323142,8268,normal,8268,0.594725,0.000000,0.000000,0.000000,0.000000,0.000000,0.255534,1.000000,0.209631,0,0,0,170
182,181,61295,1331154,8012,normal,8012,0.591162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.946280,0.255949,0,0,0,176
183,182,61557,1336922,5768,normal,5768,0.587388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393295,0.082135,0,0,0,148
184,183,61932,1345190,8268,normal,8268,0.585126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.327805,0.063989,0,0,0,146
